Value,Disaggregation combinations using this value,Number of indicators
"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",3,3
"Number of deaths from disaster per 100,000 people",3,3
"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",3,3
"Number of deaths, missing persons and directly affected persons attributed to disasters",3,3
Number of directly affected persons attributed to disasters,3,3
Number of households affected by disaster,3,3
Number of households displaced as a result of disaster,3,3
"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",3,3
"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]",3,3
Number of persons displaced attributed to disasters,3,3
"Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",1,1
"Official exchange rate (LCU per US$, period average annual)",1,1
Overall Fiscal Balance (% of GDP):,1,1
"Passenger volumes, by mode of transport (000 Passenger)",4,1
Percentage birth registration,1,1
Percentage death registration,1,1
"Personal transfers, received (% of GDP)",1,1
"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",1,1
Post-fiscal GINI index,1,1
Pre-fiscal GINI index,1,1
Prevalence of moderate or severe food insecurity in the population [2.1.2],3,1
Prevalence of severe food insecurity in the population [2.1.2],3,1
Primary government expenditures as a proportion of original approved budget [16.6.1],1,1
Primary government expenditures as a proportion of original approved budget- Development,1,1
Primary government expenditures as a proportion of original approved budget- Recurrent,1,1
Proportion of bodies of water with good ambient water quality [6.3.2],1,1
Proportion of children engaged in economic activity and household chores [8.7.1],8,1
Proportion of children living in child-specific multidimensional poverty [1.2.2],3,1
Proportion of children moderately or severely overweight [2.2.2],5,1
Proportion of children moderately or severely wasted [2.2.2],5,1
Proportion of domestic budget funded by domestic taxes [17.1.2],1,1
Proportion of domestic budget funded by tax on income,1,1
Proportion of domestic budget funded by tax on other goods and services,1,1
Proportion of domestic budget funded by taxes on international trade,1,1
Proportion of domestic budget funded by value added tax,1,1
Proportion of ever-partnered women and girls subjected to any form of physical and/or sexual and/or psychological violence by a current or former intimate partner in the previous 12 months,10,1
Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],10,1
Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],10,1
Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],10,1
Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],10,1
Proportion of groundwater bodies with good ambient water quality [6.3.2],1,1
Proportion of household using safely managed drinking water services,3,1
Proportion of household with access to electricity,3,1
Proportion of household with primary reliance on clean fuels and technology,3,1
Proportion of households using safely managed sanitation services,3,1
Proportion of households with access to electricity (Grid and Solar Systems),1,1
Proportion of households with basic handwashing facilities on premises,3,1
"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",2,2
Proportion of open water bodies with good ambient water quality [6.3.2],1,1
Proportion of population above statutory pensionable age receiving a pension [1.3.1],3,1
Proportion of population covered by at least a 2G mobile network [9.c.1],1,1
Proportion of population covered by at least a 3G mobile network [9.c.1],1,1
Proportion of population covered by at least a 4G mobile network [9.c.1],1,1
Proportion of population covered by at least one social protection benefit [1.3.1],1,1
Proportion of population living in multidimensional poverty [1.2.2],8,1
Proportion of population using basic drinking water services [1.4.1],1,1
Proportion of population using basic hygiene services,1,1
Proportion of population using basic sanitation services [1.4.1],1,1
Proportion of population using clean fuels and technologies,1,1
Proportion of population using safely managed drinking water services [6.1.1],3,1
Proportion of population using safely managed sanitation services [6.2.1],3,1
Proportion of population with access to electricity [7.1.1],3,1
Proportion of population with access to electricity (Grid and Solar Systems),3,1
Proportion of population with basic handwashing facilities on premises [6.2.1],3,1
Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income [3.8.2],1,1
Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],1,1
Proportion of population with primary reliance on clean fuels and technology [7.1.2],3,1
Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],1,1
Proportion of river water bodies with good ambient water quality [6.3.2],1,1
"Proportion of schools with access to electricity, by education level [4.a.1]",2,1
"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",2,1
Proportion of seats held by women in local governments (% of total number of seats) [5.5.1],3,1
Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],1,1
Proportion of the target population covered by all vaccines included in their national programme [3.b.1],1,1
Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],1,1
Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine [3.b.1],1,1
Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],1,1
Proportion of total agricultural population with ownership or secure rights over agricultural land [5.a.1],3,1
"Proportion of total government spending on essential services, education [UIS methodology] [1.a.2]",1,1
"Proportion of total government spending on essential services, health [1.a.2]",1,1
"Proportion of total government spending on essential services, social protection [1.a.2]",1,1
Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation [6.5.2],1,1
Proportion of transboundary river and lake basins with an operational arrangement for water cooperation [6.5.2],1,1
Proportion of urban population living in slums [11.1.1],1,1
Proportion of urban population living in slums (Any Shelter Deprivation) - Slum dwellers,1,1
Proportion of urban population living in slums (Four Shelter Deprivation),1,1
Proportion of urban population living in slums (One Shelter Deprivation),1,1
Proportion of urban population living in slums (Two Shelter Deprivation),1,1
Proportion of urban population living in slums(Three Shelter Deprivation),1,1
"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",2,2
Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],1,1
Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],1,1
Ratio for female members of judiciary compared to the  National distribution,6,1
"Ratio for female members of legislature compared to the  National distribution, Clerks",1,1
"Ratio for female members of legislature compared to the  National distribution, County Assembly",1,1
"Ratio for female members of legislature compared to the  National distribution, Parliament",1,1
"Ratio for female members of legislature compared to the  National distribution, Senate",1,1
"Ratio for female members of legislature compared to the  National distribution, Speakers",1,1
Ratio for female members of legislature compared to the  National distribution,1,1
"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber [16.7.1]",1,1
Regulatory capital to assets (%) [10.5.1],1,1
Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],1,1
Remittance costs as a proportion of the amount remitted,1,1
Return on assets (%) [10.5.1],1,1
"Share of men among owners or rights-bearers of agricultural land, by type of tenure",1,1
"Share of women among owners or rights-bearers of agricultural land, by type of tenure [5.a.1]",1,1
Tax revenue as a proportion of GDP (%) [17.13.1],1,1
Total government revenue as a proportion of GDP [17.1.1],1,1
Total reserves in months of imports,1,1
"Total resource flows for development, by recipient and donor countries [10.b.1]",1,1
Tourism direct GDP as a proportion of total GDP [8.9.1],1,1
Tourism direct GDP in growth rate,1,1
Unemployment rate,1,1
