Year,SOURCE_DETAIL,SDG Series,Unit of measure,COMMENT_OBS,Value
2018,Economic Survey,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,BOP,-649.0
2019,Economic Survey,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,BOP,-458.1
2020,Economic Survey,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,BOP,1313.3
2021,Economic Survey,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,BOP,203.6
2022,Economic Survey,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,BOP,706.7
2023,Economic Survey,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,BOP,645.5
2014,CBK,Total reserves in months of imports,Months,,5.0
2015,CBK,Total reserves in months of imports,Months,,4.8
2016,CBK,Total reserves in months of imports,Months,,5.0
2017,CBK,Total reserves in months of imports,Months,,5.0
2018,CBK,Total reserves in months of imports,Months,,5.3
2019,CBK,Total reserves in months of imports,Months,,5.5
2020,CBK,Total reserves in months of imports,Months,,5.1
2021,CBK,Total reserves in months of imports,Months,,5.7
2022,CBK,Total reserves in months of imports,Months,,4.5
2023,CBK,Total reserves in months of imports,Months,,3.9
2014,"Treasury, Economic Survey","Debt service on external debt, total (% exports and primary income)",Percent,"Include debt service of IMF(repayments, repurchases and charges)",15.2
2015,"Treasury, Economic Survey","Debt service on external debt, total (% exports and primary income)",Percent,"Include debt service of IMF(repayments, repurchases and charges)",6.8
2016,"Treasury, Economic Survey","Debt service on external debt, total (% exports and primary income)",Percent,"Include debt service of IMF(repayments, repurchases and charges)",9.0
2017,"Treasury, Economic Survey","Debt service on external debt, total (% exports and primary income)",Percent,"Include debt service of IMF(repayments, repurchases and charges)",12.3
2018,"Treasury, Economic Survey","Debt service on external debt, total (% exports and primary income)",Percent,"Include debt service of IMF(repayments, repurchases and charges)",19.8
2019,"Treasury, Economic Survey","Debt service on external debt, total (% exports and primary income)",Percent,"Include debt service of IMF(repayments, repurchases and charges)",39.9
2020,"Treasury, Economic Survey","Debt service on external debt, total (% exports and primary income)",Percent,"Include debt service of IMF(repayments, repurchases and charges)",24.9
2021,"Treasury, Economic Survey","Debt service on external debt, total (% exports and primary income)",Percent,"Include debt service of IMF(repayments, repurchases and charges)",23.2
2022,"Treasury, Economic Survey","Debt service on external debt, total (% exports and primary income)",Percent,"Include debt service of IMF(repayments, repurchases and charges)",24.7
2023,"Treasury, Economic Survey","Debt service on external debt, total (% exports and primary income)",Percent,"Include debt service of IMF(repayments, repurchases and charges)",31.1
2014,"Treasury, Economic Survey",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,Include private external debt,10.3
2015,"Treasury, Economic Survey",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,Include private external debt,26.2
2016,"Treasury, Economic Survey",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,Include private external debt,25.5
2017,"Treasury, Economic Survey",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,Include private external debt,28.6
2018,"Treasury, Economic Survey",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,Include private external debt,29.9
2019,"Treasury, Economic Survey",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,Include private external debt,31.1
2020,"Treasury, Economic Survey",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,Include private external debt,36.3
2021,"Treasury, Economic Survey",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,Include private external debt,35.6
2022,"Treasury, Economic Survey",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,Include private external debt,70.8
2023,"Treasury, Economic Survey",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,Include private external debt,81.1
2014,CBK,"Official exchange rate (LCU per US$, period average annual)",Kenyan Shillings to US Dollars,End Period Annual Average,87.9
2015,CBK,"Official exchange rate (LCU per US$, period average annual)",Kenyan Shillings to US Dollars,End Period Annual Average,98.7
2016,CBK,"Official exchange rate (LCU per US$, period average annual)",Kenyan Shillings to US Dollars,End Period Annual Average,101.5
2017,CBK,"Official exchange rate (LCU per US$, period average annual)",Kenyan Shillings to US Dollars,End Period Annual Average,103.4
2018,CBK,"Official exchange rate (LCU per US$, period average annual)",Kenyan Shillings to US Dollars,End Period Annual Average,101.3
2019,CBK,"Official exchange rate (LCU per US$, period average annual)",Kenyan Shillings to US Dollars,End Period Annual Average,102.1
2020,CBK,"Official exchange rate (LCU per US$, period average annual)",Kenyan Shillings to US Dollars,End Period Annual Average,106.6
2021,CBK,"Official exchange rate (LCU per US$, period average annual)",Kenyan Shillings to US Dollars,End Period Annual Average,109.9
2022,CBK,"Official exchange rate (LCU per US$, period average annual)",Kenyan Shillings to US Dollars,End Period Annual Average,117.9
2023,CBK,"Official exchange rate (LCU per US$, period average annual)",Kenyan Shillings to US Dollars,End Period Annual Average,139.9
2014,Economic Survey,Commodity Prices (Export/import),Index,Terms of Trade for all items,73.1
2015,Economic Survey,Commodity Prices (Export/import),Index,Terms of Trade for all items,76.0
2016,Economic Survey,Commodity Prices (Export/import),Index,Terms of Trade for all items,78.8
2017,Economic Survey,Commodity Prices (Export/import),Index,Terms of Trade for all items,75.5
2018,Economic Survey,Commodity Prices (Export/import),Index,Terms of Trade for all items,68.0
2019,Economic Survey,Commodity Prices (Export/import),Index,Terms of Trade for all items,68.0
2020,Economic Survey,Commodity Prices (Export/import),Index,Terms of Trade for all items,74.9
2021,Economic Survey,Commodity Prices (Export/import),Index,Terms of Trade for all items,73.3
2022,Economic Survey,Commodity Prices (Export/import),Index,Terms of Trade for all items,75.3
2023,Economic Survey,Commodity Prices (Export/import),Index,Terms of Trade for all items,71.4
2014,Economic Survey,Annual broad money growth (%) [17.13.1],Percent,,16.1
2015,Economic Survey,Annual broad money growth (%) [17.13.1],Percent,,14.1
2016,Economic Survey,Annual broad money growth (%) [17.13.1],Percent,,4.0
2017,Economic Survey,Annual broad money growth (%) [17.13.1],Percent,,9.6
2018,Economic Survey,Annual broad money growth (%) [17.13.1],Percent,,10.1
2019,Economic Survey,Annual broad money growth (%) [17.13.1],Percent,,5.6
2020,Economic Survey,Annual broad money growth (%) [17.13.1],Percent,,13.2
2021,Economic Survey,Annual broad money growth (%) [17.13.1],Percent,,6.1
2022,Economic Survey,Annual broad money growth (%) [17.13.1],Percent,,7.5
2023,Economic Survey,Annual broad money growth (%) [17.13.1],Percent,,19.9
2015,Economic Survey,Broad money to total reserves ratio [17.13.1],Percent,,3.5
2016,Economic Survey,Broad money to total reserves ratio [17.13.1],Percent,,3.7
2017,Economic Survey,Broad money to total reserves ratio [17.13.1],Percent,,4.0
2018,Economic Survey,Broad money to total reserves ratio [17.13.1],Percent,,3.9
2019,Economic Survey,Broad money to total reserves ratio [17.13.1],Percent,,3.8
2020,Economic Survey,Broad money to total reserves ratio [17.13.1],Percent,,4.1
2021,Economic Survey,Broad money to total reserves ratio [17.13.1],Percent,,4.0
2015,Economic Survey,Bank nonperforming loans to total gross loans (%),Percent,,6.8
2016,Economic Survey,Bank nonperforming loans to total gross loans (%),Percent,,9.1
2017,Economic Survey,Bank nonperforming loans to total gross loans (%),Percent,,10.6
2018,Economic Survey,Bank nonperforming loans to total gross loans (%),Percent,,12.0
2019,Economic Survey,Bank nonperforming loans to total gross loans (%),Percent,,12.0
2020,Economic Survey,Bank nonperforming loans to total gross loans (%),Percent,,11.5
2021,Economic Survey,Bank nonperforming loans to total gross loans (%),Percent,,14.3
2022,Economic Survey,Bank nonperforming loans to total gross loans (%),Percent,,13.8
2023,Economic Survey,Bank nonperforming loans to total gross loans (%),Percent,,12.3
2015,Economic Survey,Bank capital to assets ratio (%) [17.13.1],Percent,,15.2
2016,Economic Survey,Bank capital to assets ratio (%) [17.13.1],Percent,,16.3
2017,Economic Survey,Bank capital to assets ratio (%) [17.13.1],Percent,,14.1
2018,Economic Survey,Bank capital to assets ratio (%) [17.13.1],Percent,,14.7
2019,Economic Survey,Bank capital to assets ratio (%) [17.13.1],Percent,,14.8
2020,Economic Survey,Bank capital to assets ratio (%) [17.13.1],Percent,,15.4
2021,Economic Survey,Bank capital to assets ratio (%) [17.13.1],Percent,,16.6
2022,Economic Survey,Bank capital to assets ratio (%) [17.13.1],Percent,,16.1
2023,Economic Survey,Bank capital to assets ratio (%) [17.13.1],Percent,,21.9
2014,Economic Survey,Annual GDP growth (%) [17.13.1],Percent,,5.4
2015,Economic Survey,Annual GDP growth (%) [17.13.1],Percent,,5.7
2016,Economic Survey,Annual GDP growth (%) [17.13.1],Percent,,4.2
2017,Economic Survey,Annual GDP growth (%) [17.13.1],Percent,,3.8
2018,Economic Survey,Annual GDP growth (%) [17.13.1],Percent,,5.6
2019,Economic Survey,Annual GDP growth (%) [17.13.1],Percent,,5.1
2020,Economic Survey,Annual GDP growth (%) [17.13.1],Percent,,-0.3
2021,Economic Survey,Annual GDP growth (%) [17.13.1],Percent,,7.6
2022,Economic Survey,Annual GDP growth (%) [17.13.1],Percent,,4.9
2023,Economic Survey,Annual GDP growth (%) [17.13.1],Percent,,5.6
2014,Economic Survey,Tax revenue as a proportion of GDP (%) [17.13.1],Percent,NationalTax revenue. GDP at Current Market price,15.2
2015,Economic Survey,Tax revenue as a proportion of GDP (%) [17.13.1],Percent,NationalTax revenue. GDP at Current Market price,14.8
2016,Economic Survey,Tax revenue as a proportion of GDP (%) [17.13.1],Percent,NationalTax revenue. GDP at Current Market price,15.6
2017,Economic Survey,Tax revenue as a proportion of GDP (%) [17.13.1],Percent,NationalTax revenue. GDP at Current Market price,15.9
2018,Economic Survey,Tax revenue as a proportion of GDP (%) [17.13.1],Percent,NationalTax revenue. GDP at Current Market price,15.1
2019,Economic Survey,Tax revenue as a proportion of GDP (%) [17.13.1],Percent,NationalTax revenue. GDP at Current Market price,16.5
2020,Economic Survey,Tax revenue as a proportion of GDP (%) [17.13.1],Percent,NationalTax revenue. GDP at Current Market price,15.0
2021,Economic Survey,Tax revenue as a proportion of GDP (%) [17.13.1],Percent,NationalTax revenue. GDP at Current Market price,15.2
2022,Economic Survey,Tax revenue as a proportion of GDP (%) [17.13.1],Percent,NationalTax revenue. GDP at Current Market price,14.6
2023,Economic Survey,Tax revenue as a proportion of GDP (%) [17.13.1],Percent,NationalTax revenue. GDP at Current Market price,13.6
2014,Economic Survey,Overall Fiscal Balance (% of GDP):,Percent,Overall Fiscal Balances is taken to be equivalent to Net lending/ borrowing .GDP at Current Market price,-5.1
2015,Economic Survey,Overall Fiscal Balance (% of GDP):,Percent,Overall Fiscal Balances is taken to be equivalent to Net lending/ borrowing .GDP at Current Market price,-7.8
2016,Economic Survey,Overall Fiscal Balance (% of GDP):,Percent,Overall Fiscal Balances is taken to be equivalent to Net lending/ borrowing .GDP at Current Market price,-6.4
2017,Economic Survey,Overall Fiscal Balance (% of GDP):,Percent,Overall Fiscal Balances is taken to be equivalent to Net lending/ borrowing .GDP at Current Market price,-6.8
2018,Economic Survey,Overall Fiscal Balance (% of GDP):,Percent,Overall Fiscal Balances is taken to be equivalent to Net lending/ borrowing .GDP at Current Market price,-7.1
2019,Economic Survey,Overall Fiscal Balance (% of GDP):,Percent,Overall Fiscal Balances is taken to be equivalent to Net lending/ borrowing .GDP at Current Market price,-7.1
2020,Economic Survey,Overall Fiscal Balance (% of GDP):,Percent,Overall Fiscal Balances is taken to be equivalent to Net lending/ borrowing .GDP at Current Market price,-7.6
2021,Economic Survey,Overall Fiscal Balance (% of GDP):,Percent,Overall Fiscal Balances is taken to be equivalent to Net lending/ borrowing .GDP at Current Market price,-8.4
2022,Economic Survey,Overall Fiscal Balance (% of GDP):,Percent,Overall Fiscal Balances is taken to be equivalent to Net lending/ borrowing .GDP at Current Market price,-5.5
2023,Economic Survey,Overall Fiscal Balance (% of GDP):,Percent,Overall Fiscal Balances is taken to be equivalent to Net lending/ borrowing .GDP at Current Market price,-6.3
2014,Economic Survey,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,GDP at Current Market price,36.9
2015,Economic Survey,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,GDP at Current Market price,37.8
2016,Economic Survey,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,GDP at Current Market price,42.2
2017,Economic Survey,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,GDP at Current Market price,47.3
2018,Economic Survey,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,GDP at Current Market price,49.1
2019,Economic Survey,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,GDP at Current Market price,51.9
2020,Economic Survey,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,GDP at Current Market price,58.4
2021,Economic Survey,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,GDP at Current Market price,59.4
2022,Economic Survey,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,GDP at Current Market price,59.8
2023,Economic Survey,"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,GDP at Current Market price,63.7
2014,Economic Survey,Annual growth of the gross capital formation (%) [17.13.1],Percent,This includes Gross Fixed Capital Formation and Changes in Inventories,19.9
2015,Economic Survey,Annual growth of the gross capital formation (%) [17.13.1],Percent,This includes Gross Fixed Capital Formation and Changes in Inventories,0.1
2016,Economic Survey,Annual growth of the gross capital formation (%) [17.13.1],Percent,This includes Gross Fixed Capital Formation and Changes in Inventories,-3.9
2017,Economic Survey,Annual growth of the gross capital formation (%) [17.13.1],Percent,This includes Gross Fixed Capital Formation and Changes in Inventories,12.0
2018,Economic Survey,Annual growth of the gross capital formation (%) [17.13.1],Percent,This includes Gross Fixed Capital Formation and Changes in Inventories,-2.3
2019,Economic Survey,Annual growth of the gross capital formation (%) [17.13.1],Percent,This includes Gross Fixed Capital Formation and Changes in Inventories,5.3
2020,Economic Survey,Annual growth of the gross capital formation (%) [17.13.1],Percent,This includes Gross Fixed Capital Formation and Changes in Inventories,2.2
2021,Economic Survey,Annual growth of the gross capital formation (%) [17.13.1],Percent,This includes Gross Fixed Capital Formation and Changes in Inventories,13.4
2022,Economic Survey,Annual growth of the gross capital formation (%) [17.13.1],Percent,This includes Gross Fixed Capital Formation and Changes in Inventories,-2.6
2023,Economic Survey,Annual growth of the gross capital formation (%) [17.13.1],Percent,This includes Gross Fixed Capital Formation and Changes in Inventories,-5.5
2014,Economic Survey,Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,Includes private final consumption and final consumption by NPISH,4.3
2015,Economic Survey,Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,Includes private final consumption and final consumption by NPISH,6.1
2016,Economic Survey,Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,Includes private final consumption and final consumption by NPISH,4.5
2017,Economic Survey,Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,Includes private final consumption and final consumption by NPISH,4.9
2018,Economic Survey,Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,Includes private final consumption and final consumption by NPISH,4.7
2019,Economic Survey,Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,Includes private final consumption and final consumption by NPISH,5.0
2020,Economic Survey,Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,Includes private final consumption and final consumption by NPISH,-1.5
2021,Economic Survey,Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,Includes private final consumption and final consumption by NPISH,6.2
2022,Economic Survey,Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,Includes private final consumption and final consumption by NPISH,3.3
2023,Economic Survey,Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,Includes private final consumption and final consumption by NPISH,6.2
2014,Economic Survey,Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,,3.8
2015,Economic Survey,Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,,13.6
2016,Economic Survey,Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,,5.3
2017,Economic Survey,Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,,6.2
2018,Economic Survey,Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,,7.0
2019,Economic Survey,Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,,5.6
2020,Economic Survey,Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,,3.1
2021,Economic Survey,Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,,6.0
2022,Economic Survey,Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,,8.1
2023,Economic Survey,Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,,3.5
2014,Economic Survey,Annual growth of exports of goods and services (%) [17.13.1],Percent,,1.9
2015,Economic Survey,Annual growth of exports of goods and services (%) [17.13.1],Percent,,-2.2
2016,Economic Survey,Annual growth of exports of goods and services (%) [17.13.1],Percent,,-6.6
2017,Economic Survey,Annual growth of exports of goods and services (%) [17.13.1],Percent,,-1.0
2018,Economic Survey,Annual growth of exports of goods and services (%) [17.13.1],Percent,,6.8
2019,Economic Survey,Annual growth of exports of goods and services (%) [17.13.1],Percent,,-3.2
2020,Economic Survey,Annual growth of exports of goods and services (%) [17.13.1],Percent,,-14.9
2021,Economic Survey,Annual growth of exports of goods and services (%) [17.13.1],Percent,,15.3
2022,Economic Survey,Annual growth of exports of goods and services (%) [17.13.1],Percent,,27.0
2023,Economic Survey,Annual growth of exports of goods and services (%) [17.13.1],Percent,,7.4
2014,Economic Survey,Annual growth of imports of goods and services (%) [17.13.1],Percent,,11.3
2015,Economic Survey,Annual growth of imports of goods and services (%) [17.13.1],Percent,,-4.6
2016,Economic Survey,Annual growth of imports of goods and services (%) [17.13.1],Percent,,-7.4
2017,Economic Survey,Annual growth of imports of goods and services (%) [17.13.1],Percent,,12.4
2018,Economic Survey,Annual growth of imports of goods and services (%) [17.13.1],Percent,,1.4
2019,Economic Survey,Annual growth of imports of goods and services (%) [17.13.1],Percent,,1.8
2020,Economic Survey,Annual growth of imports of goods and services (%) [17.13.1],Percent,,-9.4
2021,Economic Survey,Annual growth of imports of goods and services (%) [17.13.1],Percent,,22.2
2022,Economic Survey,Annual growth of imports of goods and services (%) [17.13.1],Percent,,20.2
2023,Economic Survey,Annual growth of imports of goods and services (%) [17.13.1],Percent,,6.3
2014,KNBS,"Annual inflation, consumer prices (%) [17.13.1]",Index,Base; Feb 2019=100,149.7
2015,KNBS,"Annual inflation, consumer prices (%) [17.13.1]",Index,Base; Feb 2019=100,159.6
2016,KNBS,"Annual inflation, consumer prices (%) [17.13.1]",Index,Base; Feb 2019=100,86.7
2017,KNBS,"Annual inflation, consumer prices (%) [17.13.1]",Index,Base; Feb 2019=100,93.6
2018,KNBS,"Annual inflation, consumer prices (%) [17.13.1]",Index,Base; Feb 2019=100,98.0
2019,KNBS,"Annual inflation, consumer prices (%) [17.13.1]",Index,Base; Feb 2019=100,103.2
2020,KNBS,"Annual inflation, consumer prices (%) [17.13.1]",Index,Base; Feb 2019=100,108.7
2021,KNBS,"Annual inflation, consumer prices (%) [17.13.1]",Index,Base; Feb 2019=100,115.3
2022,KNBS,"Annual inflation, consumer prices (%) [17.13.1]",Index,Base; Feb 2019=100,124.2
2023,KNBS,"Annual inflation, consumer prices (%) [17.13.1]",Index,Base; Feb 2019=100,133.7
2014,Economic Survey,Commodity Prices (Export/import),Index,Terms of Trade for all items,73.1
2015,Economic Survey,Commodity Prices (Export/import),Index,Terms of Trade for all items,76.0
2016,Economic Survey,Commodity Prices (Export/import),Index,Terms of Trade for all items,78.8
2017,Economic Survey,Commodity Prices (Export/import),Index,Terms of Trade for all items,75.5
2018,Economic Survey,Commodity Prices (Export/import),Index,Terms of Trade for all items,68.0
2019,Economic Survey,Commodity Prices (Export/import),Index,Terms of Trade for all items,68.0
2020,Economic Survey,Commodity Prices (Export/import),Index,Terms of Trade for all items,74.9
2021,Economic Survey,Commodity Prices (Export/import),Index,Terms of Trade for all items,73.3
2022,Economic Survey,Commodity Prices (Export/import),Index,Terms of Trade for all items,75.3
2023,Economic Survey,Commodity Prices (Export/import),Index,Terms of Trade for all items,71.4
2014,"KPHC 2019, KCHSP 2020, KCHSP 2021",Unemployment rate,Percent,,9.7
2016,"KPHC 2019, KCHSP 2020, KCHSP 2021",Unemployment rate,Percent,,7.4
2019,"KPHC 2019, KCHSP 2020, KCHSP 2021",Unemployment rate,Percent,,13.7
2020,"KPHC 2019, KCHSP 2020, KCHSP 2021",Unemployment rate,Percent,,7.2
2021,"KPHC 2019, KCHSP 2020, KCHSP 2021",Unemployment rate,Percent,,6.1
2022,"KPHC 2019, KCHSP 2020, KCHSP 2021",Unemployment rate,Percent,,5.8
