Year,SOURCE_DETAIL,SERIES,UNIT_MEASURE,COMMENT_OBS,Value
2019,CBK,_L_KE_171301_09,MO,,5.5
2020,CBK,_L_KE_171301_09,MO,,5.1
2021,CBK,_L_KE_171301_09,MO,,5.7
2022,CBK,_L_KE_171301_09,MO,,4.5
2023,CBK,_L_KE_171301_09,MO,,3.9
2014,"Treasury, Economic Survey",_L_KE_171301_02,PT,"Include debt service of IMF(repayments, repurchases and charges)",15.2
2015,"Treasury, Economic Survey",_L_KE_171301_02,PT,"Include debt service of IMF(repayments, repurchases and charges)",6.8
2016,"Treasury, Economic Survey",_L_KE_171301_02,PT,"Include debt service of IMF(repayments, repurchases and charges)",9.0
2017,"Treasury, Economic Survey",_L_KE_171301_02,PT,"Include debt service of IMF(repayments, repurchases and charges)",12.3
2018,"Treasury, Economic Survey",_L_KE_171301_02,PT,"Include debt service of IMF(repayments, repurchases and charges)",19.8
2019,"Treasury, Economic Survey",_L_KE_171301_02,PT,"Include debt service of IMF(repayments, repurchases and charges)",39.9
2020,"Treasury, Economic Survey",_L_KE_171301_02,PT,"Include debt service of IMF(repayments, repurchases and charges)",24.9
2021,"Treasury, Economic Survey",_L_KE_171301_02,PT,"Include debt service of IMF(repayments, repurchases and charges)",23.2
2022,"Treasury, Economic Survey",_L_KE_171301_02,PT,"Include debt service of IMF(repayments, repurchases and charges)",24.7
2023,"Treasury, Economic Survey",_L_KE_171301_02,PT,"Include debt service of IMF(repayments, repurchases and charges)",31.1
2014,"Treasury, Economic Survey",DT_DOD_DECT_GN_ZS,PT,Include private external debt,10.3
2015,"Treasury, Economic Survey",DT_DOD_DECT_GN_ZS,PT,Include private external debt,26.2
2016,"Treasury, Economic Survey",DT_DOD_DECT_GN_ZS,PT,Include private external debt,25.5
2017,"Treasury, Economic Survey",DT_DOD_DECT_GN_ZS,PT,Include private external debt,28.6
2018,"Treasury, Economic Survey",DT_DOD_DECT_GN_ZS,PT,Include private external debt,29.9
2019,"Treasury, Economic Survey",DT_DOD_DECT_GN_ZS,PT,Include private external debt,31.1
2020,"Treasury, Economic Survey",DT_DOD_DECT_GN_ZS,PT,Include private external debt,36.3
2021,"Treasury, Economic Survey",DT_DOD_DECT_GN_ZS,PT,Include private external debt,35.6
2022,"Treasury, Economic Survey",DT_DOD_DECT_GN_ZS,PT,Include private external debt,70.8
2023,"Treasury, Economic Survey",DT_DOD_DECT_GN_ZS,PT,Include private external debt,81.1
2014,CBK,_L_KE_171301_03,KES_TO_USD,End Period Annual Average,87.9
2015,CBK,_L_KE_171301_03,KES_TO_USD,End Period Annual Average,98.7
2016,CBK,_L_KE_171301_03,KES_TO_USD,End Period Annual Average,101.5
2017,CBK,_L_KE_171301_03,KES_TO_USD,End Period Annual Average,103.4
2018,CBK,_L_KE_171301_03,KES_TO_USD,End Period Annual Average,101.3
2019,CBK,_L_KE_171301_03,KES_TO_USD,End Period Annual Average,102.1
2020,CBK,_L_KE_171301_03,KES_TO_USD,End Period Annual Average,106.6
2021,CBK,_L_KE_171301_03,KES_TO_USD,End Period Annual Average,109.9
2022,CBK,_L_KE_171301_03,KES_TO_USD,End Period Annual Average,117.9
2023,CBK,_L_KE_171301_03,KES_TO_USD,End Period Annual Average,139.9
2014,Economic Survey,_L_KE_171301_04,IX,Terms of Trade for all items,73.1
2015,Economic Survey,_L_KE_171301_04,IX,Terms of Trade for all items,76.0
2016,Economic Survey,_L_KE_171301_04,IX,Terms of Trade for all items,78.8
2017,Economic Survey,_L_KE_171301_04,IX,Terms of Trade for all items,75.5
2018,Economic Survey,_L_KE_171301_04,IX,Terms of Trade for all items,68.0
2019,Economic Survey,_L_KE_171301_04,IX,Terms of Trade for all items,68.0
2020,Economic Survey,_L_KE_171301_04,IX,Terms of Trade for all items,74.9
2021,Economic Survey,_L_KE_171301_04,IX,Terms of Trade for all items,73.3
2022,Economic Survey,_L_KE_171301_04,IX,Terms of Trade for all items,75.3
2023,Economic Survey,_L_KE_171301_04,IX,Terms of Trade for all items,71.4
2014,Economic Survey,FM_LBL_BMNY_ZG,PT,,16.1
2015,Economic Survey,FM_LBL_BMNY_ZG,PT,,14.1
2016,Economic Survey,FM_LBL_BMNY_ZG,PT,,4.0
2017,Economic Survey,FM_LBL_BMNY_ZG,PT,,9.6
2018,Economic Survey,FM_LBL_BMNY_ZG,PT,,10.1
2019,Economic Survey,FM_LBL_BMNY_ZG,PT,,5.6
2020,Economic Survey,FM_LBL_BMNY_ZG,PT,,13.2
2021,Economic Survey,FM_LBL_BMNY_ZG,PT,,6.1
2022,Economic Survey,FM_LBL_BMNY_ZG,PT,,7.5
2023,Economic Survey,FM_LBL_BMNY_ZG,PT,,19.9
2015,Economic Survey,FM_LBL_BMNY_IR_ZS,PT,,3.5
2016,Economic Survey,FM_LBL_BMNY_IR_ZS,PT,,3.7
2017,Economic Survey,FM_LBL_BMNY_IR_ZS,PT,,4.0
2018,Economic Survey,FM_LBL_BMNY_IR_ZS,PT,,3.9
2019,Economic Survey,FM_LBL_BMNY_IR_ZS,PT,,3.8
2020,Economic Survey,FM_LBL_BMNY_IR_ZS,PT,,4.1
2021,Economic Survey,FM_LBL_BMNY_IR_ZS,PT,,4.0
2015,Economic Survey,_L_KE_171301_05,PT,,6.8
2016,Economic Survey,_L_KE_171301_05,PT,,9.1
2017,Economic Survey,_L_KE_171301_05,PT,,10.6
2018,Economic Survey,_L_KE_171301_05,PT,,12.0
2019,Economic Survey,_L_KE_171301_05,PT,,12.0
2020,Economic Survey,_L_KE_171301_05,PT,,11.5
2021,Economic Survey,_L_KE_171301_05,PT,,14.3
2022,Economic Survey,_L_KE_171301_05,PT,,13.8
2023,Economic Survey,_L_KE_171301_05,PT,,12.3
2015,Economic Survey,FB_BNK_CAPA_ZS,PT,,15.2
2016,Economic Survey,FB_BNK_CAPA_ZS,PT,,16.3
2017,Economic Survey,FB_BNK_CAPA_ZS,PT,,14.1
2018,Economic Survey,FB_BNK_CAPA_ZS,PT,,14.7
2019,Economic Survey,FB_BNK_CAPA_ZS,PT,,14.8
2020,Economic Survey,FB_BNK_CAPA_ZS,PT,,15.4
2021,Economic Survey,FB_BNK_CAPA_ZS,PT,,16.6
2022,Economic Survey,FB_BNK_CAPA_ZS,PT,,16.1
2023,Economic Survey,FB_BNK_CAPA_ZS,PT,,21.9
2014,Economic Survey,NY_GDP_MKTP_KD_ZG,PT,,5.4
2015,Economic Survey,NY_GDP_MKTP_KD_ZG,PT,,5.7
2016,Economic Survey,NY_GDP_MKTP_KD_ZG,PT,,4.2
2017,Economic Survey,NY_GDP_MKTP_KD_ZG,PT,,3.8
2018,Economic Survey,NY_GDP_MKTP_KD_ZG,PT,,5.6
2019,Economic Survey,NY_GDP_MKTP_KD_ZG,PT,,5.1
2020,Economic Survey,NY_GDP_MKTP_KD_ZG,PT,,-0.3
2021,Economic Survey,NY_GDP_MKTP_KD_ZG,PT,,7.6
2022,Economic Survey,NY_GDP_MKTP_KD_ZG,PT,,4.9
2023,Economic Survey,NY_GDP_MKTP_KD_ZG,PT,,5.6
2014,Economic Survey,GC_TAX_TOTL_GD_ZS,PT,NationalTax revenue. GDP at Current Market price,15.2
2015,Economic Survey,GC_TAX_TOTL_GD_ZS,PT,NationalTax revenue. GDP at Current Market price,14.8
2016,Economic Survey,GC_TAX_TOTL_GD_ZS,PT,NationalTax revenue. GDP at Current Market price,15.6
2017,Economic Survey,GC_TAX_TOTL_GD_ZS,PT,NationalTax revenue. GDP at Current Market price,15.9
2018,Economic Survey,GC_TAX_TOTL_GD_ZS,PT,NationalTax revenue. GDP at Current Market price,15.1
2019,Economic Survey,GC_TAX_TOTL_GD_ZS,PT,NationalTax revenue. GDP at Current Market price,16.5
2020,Economic Survey,GC_TAX_TOTL_GD_ZS,PT,NationalTax revenue. GDP at Current Market price,15.0
2021,Economic Survey,GC_TAX_TOTL_GD_ZS,PT,NationalTax revenue. GDP at Current Market price,15.2
2022,Economic Survey,GC_TAX_TOTL_GD_ZS,PT,NationalTax revenue. GDP at Current Market price,14.6
2023,Economic Survey,GC_TAX_TOTL_GD_ZS,PT,NationalTax revenue. GDP at Current Market price,13.6
2014,Economic Survey,_L_KE_171301_06,PT,Overall Fiscal Balances is taken to be equivalent to Net lending/ borrowing .GDP at Current Market price,-5.1
2015,Economic Survey,_L_KE_171301_06,PT,Overall Fiscal Balances is taken to be equivalent to Net lending/ borrowing .GDP at Current Market price,-7.8
2016,Economic Survey,_L_KE_171301_06,PT,Overall Fiscal Balances is taken to be equivalent to Net lending/ borrowing .GDP at Current Market price,-6.4
2017,Economic Survey,_L_KE_171301_06,PT,Overall Fiscal Balances is taken to be equivalent to Net lending/ borrowing .GDP at Current Market price,-6.8
2018,Economic Survey,_L_KE_171301_06,PT,Overall Fiscal Balances is taken to be equivalent to Net lending/ borrowing .GDP at Current Market price,-7.1
2019,Economic Survey,_L_KE_171301_06,PT,Overall Fiscal Balances is taken to be equivalent to Net lending/ borrowing .GDP at Current Market price,-7.1
2020,Economic Survey,_L_KE_171301_06,PT,Overall Fiscal Balances is taken to be equivalent to Net lending/ borrowing .GDP at Current Market price,-7.6
2021,Economic Survey,_L_KE_171301_06,PT,Overall Fiscal Balances is taken to be equivalent to Net lending/ borrowing .GDP at Current Market price,-8.4
2022,Economic Survey,_L_KE_171301_06,PT,Overall Fiscal Balances is taken to be equivalent to Net lending/ borrowing .GDP at Current Market price,-5.5
2023,Economic Survey,_L_KE_171301_06,PT,Overall Fiscal Balances is taken to be equivalent to Net lending/ borrowing .GDP at Current Market price,-6.3
2014,Economic Survey,DP_DOD_DLD2_CR_CG_Z1,PT,GDP at Current Market price,36.9
2015,Economic Survey,DP_DOD_DLD2_CR_CG_Z1,PT,GDP at Current Market price,37.8
2016,Economic Survey,DP_DOD_DLD2_CR_CG_Z1,PT,GDP at Current Market price,42.2
2017,Economic Survey,DP_DOD_DLD2_CR_CG_Z1,PT,GDP at Current Market price,47.3
2018,Economic Survey,DP_DOD_DLD2_CR_CG_Z1,PT,GDP at Current Market price,49.1
2019,Economic Survey,DP_DOD_DLD2_CR_CG_Z1,PT,GDP at Current Market price,51.9
2020,Economic Survey,DP_DOD_DLD2_CR_CG_Z1,PT,GDP at Current Market price,58.4
2021,Economic Survey,DP_DOD_DLD2_CR_CG_Z1,PT,GDP at Current Market price,59.4
2022,Economic Survey,DP_DOD_DLD2_CR_CG_Z1,PT,GDP at Current Market price,59.8
2023,Economic Survey,DP_DOD_DLD2_CR_CG_Z1,PT,GDP at Current Market price,63.7
2014,Economic Survey,NE_GDI_TOTL_KD_ZG,PT,This includes Gross Fixed Capital Formation and Changes in Inventories,19.9
2015,Economic Survey,NE_GDI_TOTL_KD_ZG,PT,This includes Gross Fixed Capital Formation and Changes in Inventories,0.1
2016,Economic Survey,NE_GDI_TOTL_KD_ZG,PT,This includes Gross Fixed Capital Formation and Changes in Inventories,-3.9
2017,Economic Survey,NE_GDI_TOTL_KD_ZG,PT,This includes Gross Fixed Capital Formation and Changes in Inventories,12.0
2018,Economic Survey,NE_GDI_TOTL_KD_ZG,PT,This includes Gross Fixed Capital Formation and Changes in Inventories,-2.3
2019,Economic Survey,NE_GDI_TOTL_KD_ZG,PT,This includes Gross Fixed Capital Formation and Changes in Inventories,5.3
2020,Economic Survey,NE_GDI_TOTL_KD_ZG,PT,This includes Gross Fixed Capital Formation and Changes in Inventories,2.2
2021,Economic Survey,NE_GDI_TOTL_KD_ZG,PT,This includes Gross Fixed Capital Formation and Changes in Inventories,13.4
2022,Economic Survey,NE_GDI_TOTL_KD_ZG,PT,This includes Gross Fixed Capital Formation and Changes in Inventories,-2.6
2023,Economic Survey,NE_GDI_TOTL_KD_ZG,PT,This includes Gross Fixed Capital Formation and Changes in Inventories,-5.5
2014,Economic Survey,NE_CON_PRVT_KD_ZG,PT,Includes private final consumption and final consumption by NPISH,4.3
2015,Economic Survey,NE_CON_PRVT_KD_ZG,PT,Includes private final consumption and final consumption by NPISH,6.1
2016,Economic Survey,NE_CON_PRVT_KD_ZG,PT,Includes private final consumption and final consumption by NPISH,4.5
2017,Economic Survey,NE_CON_PRVT_KD_ZG,PT,Includes private final consumption and final consumption by NPISH,4.9
2018,Economic Survey,NE_CON_PRVT_KD_ZG,PT,Includes private final consumption and final consumption by NPISH,4.7
2019,Economic Survey,NE_CON_PRVT_KD_ZG,PT,Includes private final consumption and final consumption by NPISH,5.0
2020,Economic Survey,NE_CON_PRVT_KD_ZG,PT,Includes private final consumption and final consumption by NPISH,-1.5
2021,Economic Survey,NE_CON_PRVT_KD_ZG,PT,Includes private final consumption and final consumption by NPISH,6.2
2022,Economic Survey,NE_CON_PRVT_KD_ZG,PT,Includes private final consumption and final consumption by NPISH,3.3
2023,Economic Survey,NE_CON_PRVT_KD_ZG,PT,Includes private final consumption and final consumption by NPISH,6.2
2014,Economic Survey,NE_CON_GOVT_KD_ZG,PT,,3.8
2015,Economic Survey,NE_CON_GOVT_KD_ZG,PT,,13.6
2016,Economic Survey,NE_CON_GOVT_KD_ZG,PT,,5.3
2017,Economic Survey,NE_CON_GOVT_KD_ZG,PT,,6.2
2018,Economic Survey,NE_CON_GOVT_KD_ZG,PT,,7.0
2019,Economic Survey,NE_CON_GOVT_KD_ZG,PT,,5.6
2020,Economic Survey,NE_CON_GOVT_KD_ZG,PT,,3.1
2021,Economic Survey,NE_CON_GOVT_KD_ZG,PT,,6.0
2022,Economic Survey,NE_CON_GOVT_KD_ZG,PT,,8.1
2023,Economic Survey,NE_CON_GOVT_KD_ZG,PT,,3.5
2014,Economic Survey,NE_EXP_GNFS_KD_ZG,PT,,1.9
2015,Economic Survey,NE_EXP_GNFS_KD_ZG,PT,,-2.2
2016,Economic Survey,NE_EXP_GNFS_KD_ZG,PT,,-6.6
2017,Economic Survey,NE_EXP_GNFS_KD_ZG,PT,,-1.0
2018,Economic Survey,NE_EXP_GNFS_KD_ZG,PT,,6.8
2019,Economic Survey,NE_EXP_GNFS_KD_ZG,PT,,-3.2
2020,Economic Survey,NE_EXP_GNFS_KD_ZG,PT,,-14.9
2021,Economic Survey,NE_EXP_GNFS_KD_ZG,PT,,15.3
2022,Economic Survey,NE_EXP_GNFS_KD_ZG,PT,,27.0
2023,Economic Survey,NE_EXP_GNFS_KD_ZG,PT,,7.4
2014,Economic Survey,NE_IMP_GNFS_KD_ZG,PT,,11.3
2015,Economic Survey,NE_IMP_GNFS_KD_ZG,PT,,-4.6
2016,Economic Survey,NE_IMP_GNFS_KD_ZG,PT,,-7.4
2017,Economic Survey,NE_IMP_GNFS_KD_ZG,PT,,12.4
2018,Economic Survey,NE_IMP_GNFS_KD_ZG,PT,,1.4
2019,Economic Survey,NE_IMP_GNFS_KD_ZG,PT,,1.8
2020,Economic Survey,NE_IMP_GNFS_KD_ZG,PT,,-9.4
2021,Economic Survey,NE_IMP_GNFS_KD_ZG,PT,,22.2
2022,Economic Survey,NE_IMP_GNFS_KD_ZG,PT,,20.2
2023,Economic Survey,NE_IMP_GNFS_KD_ZG,PT,,6.3
2014,KNBS,FP_CPI_TOTL_ZG,IX,Base; Feb 2019=100,149.7
2015,KNBS,FP_CPI_TOTL_ZG,IX,Base; Feb 2019=100,159.6
2016,KNBS,FP_CPI_TOTL_ZG,IX,Base; Feb 2019=100,86.7
2017,KNBS,FP_CPI_TOTL_ZG,IX,Base; Feb 2019=100,93.6
2018,KNBS,FP_CPI_TOTL_ZG,IX,Base; Feb 2019=100,98.0
2019,KNBS,FP_CPI_TOTL_ZG,IX,Base; Feb 2019=100,103.2
2020,KNBS,FP_CPI_TOTL_ZG,IX,Base; Feb 2019=100,108.7
2021,KNBS,FP_CPI_TOTL_ZG,IX,Base; Feb 2019=100,115.3
2022,KNBS,FP_CPI_TOTL_ZG,IX,Base; Feb 2019=100,124.2
2023,KNBS,FP_CPI_TOTL_ZG,IX,Base; Feb 2019=100,133.7
2014,Economic Survey,_L_KE_171301_07,IX,Terms of Trade for all items,73.1
2015,Economic Survey,_L_KE_171301_07,IX,Terms of Trade for all items,76.0
2016,Economic Survey,_L_KE_171301_07,IX,Terms of Trade for all items,78.8
2017,Economic Survey,_L_KE_171301_07,IX,Terms of Trade for all items,75.5
2018,Economic Survey,_L_KE_171301_07,IX,Terms of Trade for all items,68.0
2019,Economic Survey,_L_KE_171301_07,IX,Terms of Trade for all items,68.0
2020,Economic Survey,_L_KE_171301_07,IX,Terms of Trade for all items,74.9
2021,Economic Survey,_L_KE_171301_07,IX,Terms of Trade for all items,73.3
2022,Economic Survey,_L_KE_171301_07,IX,Terms of Trade for all items,75.3
2023,Economic Survey,_L_KE_171301_07,IX,Terms of Trade for all items,71.4
2014,"KPHC 2019, KCHSP 2020, KCHSP 2021",_L_KE_171301_08,PT,,9.7
2016,"KPHC 2019, KCHSP 2020, KCHSP 2021",_L_KE_171301_08,PT,,7.4
2019,"KPHC 2019, KCHSP 2020, KCHSP 2021",_L_KE_171301_08,PT,,13.7
2020,"KPHC 2019, KCHSP 2020, KCHSP 2021",_L_KE_171301_08,PT,,7.2
2021,"KPHC 2019, KCHSP 2020, KCHSP 2021",_L_KE_171301_08,PT,,6.1
2022,"KPHC 2019, KCHSP 2020, KCHSP 2021",_L_KE_171301_08,PT,,5.8
